[ 2017-01-07T17:42:05+08:00 ] /api.rar | INFO: Tag[ route_check ] --START--
[ 2017-01-07T17:42:05+08:00 ] /api.rar | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-01-07T17:42:05+08:00 ] /api.rar | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-01-07T17:42:05+08:00 ] /api.rar | INFO: Tag[ app_begin ] --START--
[ 2017-01-07T17:42:05+08:00 ] /api.rar | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-01-07T17:42:05+08:00 ] /api.rar | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-01-07T17:42:06+08:00 ] /api.rar | SQL: SHOW COLUMNS FROM `pay_user` [ RunTime:0.001954s ]
[ 2017-01-07T17:42:06+08:00 ] /api.rar | SQL: SELECT `id` FROM `pay_user` WHERE mypayurlname='api.rar' LIMIT 1   [ RunTime:0.000000s ]
[ 2017-01-07T17:42:06+08:00 ] /api.rar | INFO: Tag[ view_template ] --START--
[ 2017-01-07T17:42:06+08:00 ] /api.rar | INFO: Run LocationTemplate Behavior [ RunTime:0.000977s ]
[ 2017-01-07T17:42:06+08:00 ] /api.rar | INFO: Tag[ view_template ] --END-- [ RunTime:0.000977s ]
[ 2017-01-07T17:42:06+08:00 ] /api.rar | INFO: Tag[ view_parse ] --START--
[ 2017-01-07T17:42:06+08:00 ] /api.rar | INFO: Run ParseTemplate Behavior [ RunTime:0.004883s ]
[ 2017-01-07T17:42:06+08:00 ] /api.rar | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004883s ]
[ 2017-01-07T17:42:06+08:00 ] /api.rar | INFO: Tag[ view_filter ] --START--
[ 2017-01-07T17:42:06+08:00 ] /api.rar | INFO: Run ContentReplace Behavior [ RunTime:0.000976s ]
[ 2017-01-07T17:42:06+08:00 ] /api.rar | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-01-07T17:42:06+08:00 ] /api.rar | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000977s ]
[ 2017-01-07T17:42:06+08:00 ] /api.rar | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-01-07T17:42:06+08:00 ] /api.rar | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001953s ]
[ 2017-01-07T17:42:06+08:00 ] /api.rar | INFO: Tag[ view_end ] --START--
