[ 2017-01-23T15:35:18+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-01-23T15:35:18+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001486s ]
[ 2017-01-23T15:35:18+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001738s ]
[ 2017-01-23T15:35:18+08:00 ] / | NOTIC: [2] session_start(): Cannot send session cookie - headers already sent by (output started at /Users/pengxiaozhou/Documents/Development/Projects/Du/wwwroot/Conf/config.php:1) functions.php 第 411 行.
[ 2017-01-23T15:35:18+08:00 ] / | NOTIC: [2] session_start(): Cannot send session cache limiter - headers already sent (output started at /Users/pengxiaozhou/Documents/Development/Projects/Du/wwwroot/Conf/config.php:1) functions.php 第 411 行.
[ 2017-01-23T15:35:18+08:00 ] / | NOTIC: [2048] Declaration of IndexAction::ajaxreturn() should be compatible with Action::ajaxReturn($data, $info = '', $status = 1, $type = '') IndexAction.class.php 第 1060 行.
[ 2017-01-23T15:35:18+08:00 ] / | NOTIC: [2] Cannot modify header information - headers already sent by (output started at /Users/pengxiaozhou/Documents/Development/Projects/Du/wwwroot/Conf/config.php:1) IndexAction.class.php 第 21 行.
[ 2017-01-23T15:35:18+08:00 ] / | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-01-23T15:35:18+08:00 ] / | SQL: SHOW COLUMNS FROM `pay_newlist` [ RunTime:0.003297s ]
[ 2017-01-23T15:35:18+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-01-23T15:35:18+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 0 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000933s ]
[ 2017-01-23T15:35:18+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-01-23T15:35:18+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 1 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000668s ]
[ 2017-01-23T15:35:18+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-01-23T15:35:18+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 2 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000351s ]
[ 2017-01-23T15:35:18+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-01-23T15:35:18+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 3 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000298s ]
[ 2017-01-23T15:35:18+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2017-01-23T15:35:18+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000670s ]
[ 2017-01-23T15:35:18+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000726s ]
[ 2017-01-23T15:35:18+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2017-01-23T15:35:18+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-01-23T15:35:18+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-01-23T15:35:18+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-01-23T15:35:18+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-01-23T15:35:18+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-01-23T15:35:18+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-01-23T15:35:18+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-01-23T15:35:18+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-01-23T15:35:18+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-01-23T15:35:18+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-01-23T15:35:18+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-01-23T15:35:18+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
